UTC,Latitude,Longitude,Altitude
2025/5/28 - 12:34:47,49.38503801130837,1.0684196705277391,62.84780038520694
2025/5/28 - 12:34:47,49.38503824085095,1.0683997895902484,62.77616980392486
2025/5/28 - 12:34:47,49.385038470393546,1.0683799086521166,62.70453966408968
2025/5/28 - 12:34:47,49.385038699936125,1.0683600277133445,62.6329099657014
2025/5/28 - 12:34:47,49.38503892947871,1.0683401467739306,62.5612807078287
2025/5/28 - 12:34:47,49.3850391590213,1.0683202658338762,62.4896518914029
2025/5/28 - 12:34:47,49.38503938856388,1.068300384893181,62.41802351735532
2025/5/28 - 12:34:47,49.38503961810647,1.0682805039518448,62.346395582892
2025/5/28 - 12:34:47,49.38503544493121,1.0684731400111438,62.00999919231981
2025/5/28 - 12:34:47,49.38503539929591,1.068466541770777,61.92182027362287
2025/5/28 - 12:34:47,49.38503535366061,1.0684599435300837,61.83364140521735
2025/5/28 - 12:34:47,49.38503530802532,1.0684533452890634,61.745462586171925
2025/5/28 - 12:34:47,49.38503526239002,1.0684467470477166,61.6572838164866
2025/5/28 - 12:34:47,49.38503521675473,1.068440148806043,61.569105096161366
2025/5/28 - 12:34:47,49.38503517111943,1.068433550564043,61.48092642612755
2025/5/28 - 12:34:47,49.385035125484144,1.068426952321716,61.39274780545384
2025/5/28 - 12:34:47,49.38503507984885,1.0684203540790624,61.30456923414022
2025/5/28 - 12:34:47,49.38503155491664,1.0684695078373008,62.15791304688901
2025/5/28 - 12:34:47,49.38503128350227,1.068466527463375,62.13083166163415
2025/5/28 - 12:34:47,49.38503101208791,1.0684635470893802,62.10375028755516
2025/5/28 - 12:34:47,49.38503074067355,1.068460566715317,62.0766689227894
2025/5/28 - 12:34:47,49.38503046925918,1.068457586341186,62.0495875691995
2025/5/28 - 12:34:47,49.385030197844806,1.0684546059669866,62.02250622585416
2025/5/28 - 12:34:47,49.385029926430434,1.0684516255927188,61.99542489275336
2025/5/28 - 12:34:47,49.38502965501606,1.0684486452183828,61.96834356989712
2025/5/28 - 12:34:47,49.3850293836017,1.0684456648439784,61.94126225821674
2025/5/28 - 12:34:47,49.38503627958883,1.0684658006471843,61.31669205054641
2025/5/28 - 12:34:47,49.385036473106446,1.0684643197633117,61.25085303746164
2025/5/28 - 12:34:47,49.38503666662405,1.068462838879394,61.18501402623952
2025/5/28 - 12:34:47,49.38503686014166,1.0684613579954316,61.11917501781136
2025/5/28 - 12:34:47,49.38503705365928,1.0684598771114246,61.05333601310849
