UTC,Latitude,Longitude
2025/03/18 - 16:18:29,49.38543675,1.07118383
2025/03/18 - 16:18:30,49.38544389,1.07117405
2025/03/18 - 16:18:31,49.38545383,1.07116588
2025/03/18 - 16:18:32,49.38546458,1.07115360
2025/03/18 - 16:18:33,49.38547463,1.07114311
2025/03/18 - 16:18:34,49.38548630,1.07113316
2025/03/18 - 16:18:35,49.38549744,1.07112261
2025/03/18 - 16:18:36,49.38551029,1.07111458
2025/03/18 - 16:18:37,49.38551944,1.07110851
2025/03/18 - 16:18:38,49.38552947,1.07110075
2025/03/18 - 16:18:39,49.38553919,1.07109009
2025/03/18 - 16:18:40,49.38554870,1.07108251
2025/03/18 - 16:18:41,49.38555766,1.07107396
2025/03/18 - 16:18:42,49.38556582,1.07106336
2025/03/18 - 16:18:43,49.38557235,1.07104942
2025/03/18 - 16:18:44,49.38557542,1.07103519
2025/03/18 - 16:18:45,49.38558218,1.07102690
2025/03/18 - 16:18:46,49.38558495,1.07101774
2025/03/18 - 16:18:47,49.38558594,1.07100806
2025/03/18 - 16:18:48,49.38558824,1.07099103
2025/03/18 - 16:18:49,49.38558878,1.07097367
2025/03/18 - 16:18:50,49.38559118,1.07095654
2025/03/18 - 16:18:51,49.38559295,1.07094047
2025/03/18 - 16:18:52,49.38559723,1.07092347
2025/03/18 - 16:18:53,49.38560127,1.07090867
2025/03/18 - 16:18:54,49.38560354,1.07089270
2025/03/18 - 16:18:55,49.38560235,1.07088004
2025/03/18 - 16:18:56,49.38560321,1.07086334
2025/03/18 - 16:18:57,49.38560966,1.07084838
2025/03/18 - 16:18:58,49.38561806,1.07084283
2025/03/18 - 16:18:59,49.38562819,1.07084487
2025/03/18 - 16:19:00,49.38563493,1.07084615
2025/03/18 - 16:19:01,49.38563985,1.07085046
2025/03/18 - 16:19:02,49.38564735,1.07085188
2025/03/18 - 16:19:03,49.38565445,1.07085068
2025/03/18 - 16:19:04,49.38566389,1.07085319
2025/03/18 - 16:19:05,49.38567577,1.07085422
2025/03/18 - 16:19:06,49.38568846,1.07085318
2025/03/18 - 16:19:07,49.38570625,1.07084513
2025/03/18 - 16:19:08,49.38571577,1.07084632
2025/03/18 - 16:19:09,49.38572296,1.07085421
2025/03/18 - 16:19:10,49.38573406,1.07085415
2025/03/18 - 16:19:11,49.38574800,1.07085479
2025/03/18 - 16:19:12,49.38575911,1.07085745
2025/03/18 - 16:19:13,49.38576805,1.07085832
2025/03/18 - 16:19:14,49.38577979,1.07085763
2025/03/18 - 16:19:15,49.38579525,1.07085694
2025/03/18 - 16:19:16,49.38580669,1.07085933
2025/03/18 - 16:19:17,49.38582014,1.07086164
2025/03/18 - 16:19:18,49.38582790,1.07085791
2025/03/18 - 16:19:19,49.38583611,1.07085600
2025/03/18 - 16:19:20,49.38584864,1.07085627
2025/03/18 - 16:19:21,49.38586119,1.07085689
2025/03/18 - 16:19:22,49.38587330,1.07086400
2025/03/18 - 16:19:23,49.38588042,1.07086681
2025/03/18 - 16:19:24,49.38589065,1.07086905
2025/03/18 - 16:19:25,49.38589661,1.07087098
2025/03/18 - 16:22:30,49.38591405,1.07087994
2025/03/18 - 16:22:31,49.38591369,1.07087879
2025/03/18 - 16:22:32,49.38591396,1.07087846
2025/03/18 - 16:22:33,49.38591461,1.07087707
2025/03/18 - 16:22:34,49.38591685,1.07087706
2025/03/18 - 16:22:35,49.38592070,1.07087746
2025/03/18 - 16:22:36,49.38593009,1.07087829
2025/03/18 - 16:22:37,49.38594056,1.07087766
2025/03/18 - 16:22:38,49.38595758,1.07088105
2025/03/18 - 16:22:39,49.38596770,1.07088128
2025/03/18 - 16:22:40,49.38597887,1.07088141
2025/03/18 - 16:22:41,49.38598654,1.07088042
2025/03/18 - 16:22:42,49.38599680,1.07087450
2025/03/18 - 16:22:43,49.38600916,1.07087626
2025/03/18 - 16:22:44,49.38601469,1.07087469
2025/03/18 - 16:22:45,49.38601493,1.07087460
2025/03/18 - 16:22:46,49.38601255,1.07087255
2025/03/18 - 16:22:47,49.38600967,1.07086853
2025/03/18 - 16:22:48,49.38600929,1.07086738
2025/03/18 - 16:22:49,49.38600919,1.07086705
2025/03/18 - 16:22:50,49.38600743,1.07086671
2025/03/18 - 16:22:51,49.38600767,1.07086643
2025/03/18 - 16:22:52,49.38600721,1.07087003
2025/03/18 - 16:22:53,49.38600679,1.07087314
2025/03/18 - 16:22:54,49.38600620,1.07087567
2025/03/18 - 16:22:55,49.38600696,1.07088004
2025/03/18 - 16:22:56,49.38600685,1.07087995
2025/03/18 - 16:22:57,49.38600703,1.07088139
2025/03/18 - 16:22:58,49.38601943,1.07088043
2025/03/18 - 16:22:59,49.38603229,1.07088279
2025/03/18 - 16:23:00,49.38603814,1.07088465
2025/03/18 - 16:23:01,49.38604656,1.07088759
2025/03/18 - 16:23:02,49.38606045,1.07089113
2025/03/18 - 16:23:03,49.38607151,1.07089377
2025/03/18 - 16:23:04,49.38607993,1.07089375
2025/03/18 - 16:23:05,49.38608685,1.07089274
2025/03/18 - 16:23:06,49.38609659,1.07089305
2025/03/18 - 16:23:07,49.38610253,1.07089192
2025/03/18 - 16:23:08,49.38611224,1.07089433
2025/03/18 - 16:23:09,49.38612306,1.07089987
2025/03/18 - 16:23:10,49.38613261,1.07090384
2025/03/18 - 16:23:11,49.38613899,1.07090077
2025/03/18 - 16:23:12,49.38613822,1.07090055
2025/03/18 - 16:23:13,49.38614250,1.07089962
2025/03/18 - 16:23:14,49.38614849,1.07089624
2025/03/18 - 16:23:15,49.38615825,1.07089681
2025/03/18 - 16:23:16,49.38616580,1.07089501
2025/03/18 - 16:23:17,49.38618681,1.07089045
2025/03/18 - 16:23:18,49.38620129,1.07088879
2025/03/18 - 16:23:19,49.38620800,1.07088558
2025/03/18 - 16:23:20,49.38622045,1.07088120
2025/03/18 - 16:23:21,49.38622842,1.07088600
2025/03/18 - 16:23:22,49.38624460,1.07088966
2025/03/18 - 16:23:23,49.38625681,1.07088960
2025/03/18 - 16:23:24,49.38627265,1.07088657
2025/03/18 - 16:23:25,49.38628242,1.07088886
2025/03/18 - 16:23:26,49.38629471,1.07088664
2025/03/18 - 16:23:27,49.38630326,1.07088903
2025/03/18 - 16:23:28,49.38631428,1.07089492
2025/03/18 - 16:23:29,49.38632136,1.07089778
2025/03/18 - 16:23:30,49.38633561,1.07089803
2025/03/18 - 16:23:31,49.38634652,1.07089629
2025/03/18 - 16:23:32,49.38635512,1.07088945
2025/03/18 - 16:23:33,49.38636351,1.07089245
2025/03/18 - 16:23:34,49.38637440,1.07089948
2025/03/18 - 16:23:35,49.38637841,1.07091427
2025/03/18 - 16:23:36,49.38638420,1.07091981
2025/03/18 - 16:23:37,49.38639381,1.07092442
2025/03/18 - 16:23:38,49.38640327,1.07092720
2025/03/18 - 16:23:39,49.38641077,1.07093248
2025/03/18 - 16:23:40,49.38641533,1.07094225
2025/03/18 - 16:23:41,49.38641947,1.07096381
2025/03/18 - 16:23:42,49.38642133,1.07098438
2025/03/18 - 16:23:43,49.38641807,1.07100467
2025/03/18 - 16:23:44,49.38641885,1.07102243
2025/03/18 - 16:23:45,49.38641760,1.07103788
2025/03/18 - 16:23:46,49.38642405,1.07105258
2025/03/18 - 16:23:47,49.38642962,1.07106637
2025/03/18 - 16:23:48,49.38642581,1.07108869
2025/03/18 - 16:23:49,49.38642485,1.07110566
2025/03/18 - 16:23:50,49.38643263,1.07111975
2025/03/18 - 16:23:51,49.38644117,1.07112367
2025/03/18 - 16:23:52,49.38644750,1.07113590
2025/03/18 - 16:23:53,49.38645731,1.07114503
2025/03/18 - 16:23:54,49.38646909,1.07114932
2025/03/18 - 16:23:55,49.38648177,1.07115018
2025/03/18 - 16:23:56,49.38649143,1.07114864
2025/03/18 - 16:23:57,49.38649703,1.07114743
2025/03/18 - 16:23:58,49.38650651,1.07114672
2025/03/18 - 16:23:59,49.38651567,1.07114903
2025/03/18 - 16:24:00,49.38652667,1.07115231
2025/03/18 - 16:24:01,49.38653668,1.07114790
2025/03/18 - 16:24:02,49.38654462,1.07114546
2025/03/18 - 16:24:03,49.38655540,1.07114667
2025/03/18 - 16:24:04,49.38656804,1.07114743
2025/03/18 - 16:24:05,49.38658359,1.07115899
2025/03/18 - 16:24:06,49.38659913,1.07116376
2025/03/18 - 16:24:07,49.38661287,1.07116753
2025/03/18 - 16:24:08,49.38662135,1.07116910
2025/03/18 - 16:24:09,49.38663172,1.07117143
2025/03/18 - 16:24:10,49.38664189,1.07117887
2025/03/18 - 16:24:11,49.38665409,1.07118542
2025/03/18 - 16:24:12,49.38666670,1.07118568
2025/03/18 - 16:24:13,49.38668119,1.07118385
2025/03/18 - 16:24:14,49.38668966,1.07118035
2025/03/18 - 16:24:15,49.38669462,1.07118161
2025/03/18 - 16:24:16,49.38669939,1.07117525
2025/03/18 - 16:24:17,49.38670943,1.07117769
2025/03/18 - 16:24:18,49.38672234,1.07117915
2025/03/18 - 16:24:19,49.38673425,1.07117935
