"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.190573708E0,3.101550293E-1,-5.915698242E-1,1.019080811E1,1.021267452E1
1.200560708E0,3.367996216E-1,-5.547463989E-1,1.021176453E1,1.023236592E1
1.210546708E0,3.852987671E-1,-5.140310669E-1,1.028855484E1,1.030859078E1
1.220533708E0,4.378395081E-1,-5.234614563E-1,1.035801041E1,1.038046699E1
1.230520708E0,4.680766296E-1,-5.694158936E-1,1.024200165E1,1.026849200E1
1.240506708E0,4.727169800E-1,-5.986051941E-1,1.010458740E1,1.013333489E1
1.250493708E0,4.342469788E-1,-6.192622375E-1,1.006806335E1,1.009643283E1
1.260480708E0,4.433779907E-1,-6.545887756E-1,1.006656647E1,1.009756560E1
1.270466708E0,4.544549561E-1,-6.508465576E-1,1.005174728E1,1.008304289E1
1.280453708E0,3.782633972E-1,-7.183561707E-1,9.976603546E0,1.000958226E1
1.290439708E0,3.306623840E-1,-7.688012695E-1,9.923164673E0,9.958392949E0
1.300426708E0,3.269201660E-1,-7.366181946E-1,9.956694946E0,9.989257100E0
1.310413708E0,3.638932800E-1,-6.447093201E-1,9.931247864E0,9.958802767E0
1.320399708E0,3.848497009E-1,-6.288423157E-1,9.785451050E0,9.813185222E0
1.330386708E0,3.905378723E-1,-6.944059753E-1,9.624236298E0,9.657155057E0
1.340372708E0,4.008663940E-1,-7.137158203E-1,9.586065674E0,9.620953136E0
1.350359708E0,4.007167053E-1,-7.523355103E-1,9.564360809E0,9.602269538E0
1.360346708E0,3.829037476E-1,-7.514373779E-1,9.499994659E0,9.537356654E0
1.370332708E0,2.565664673E-1,-6.619235229E-1,9.494456177E0,9.520959363E0
1.380319708E0,2.005828857E-1,-7.259902954E-1,9.473350067E0,9.503244546E0
1.390306708E0,2.049238586E-1,-7.589218140E-1,9.476792908E0,9.509340667E0
1.400292708E0,2.412982178E-1,-6.237528992E-1,9.475595398E0,9.499168419E0
1.410279708E0,2.757266235E-1,-4.917274475E-1,9.525441742E0,9.542109905E0
1.420265708E0,3.306623840E-1,-4.655319214E-1,9.591903534E0,9.608885002E0
1.430252708E0,3.504212952E-1,-4.661306763E-1,9.485474854E0,9.503383928E0
1.440239708E0,3.040177917E-1,-3.968247986E-1,9.344767456E0,9.358128849E0
1.450225708E0,2.465373230E-1,-3.676354980E-1,9.255103912E0,9.265683188E0
1.460212708E0,2.207908630E-1,-3.010240173E-1,9.374854889E0,9.382284810E0
1.470198708E0,1.676513672E-1,-2.465373230E-1,9.578880615E0,9.583519263E0
1.480185708E0,8.936416626E-2,-2.939886475E-1,9.682614899E0,9.687489177E0
1.490172708E0,-2.095642090E-3,-2.805166626E-1,9.800120544E0,9.804134672E0
1.500158708E0,-4.385879517E-2,-2.773731995E-1,9.779762878E0,9.783793816E0
1.510145708E0,-6.421646118E-2,-2.083666992E-1,9.733359375E0,9.735801208E0
1.520132708E0,-7.170089722E-2,-1.326242065E-1,9.789492645E0,9.790653525E0
1.530118708E0,-3.188369751E-2,-2.844085693E-2,9.646988983E0,9.647083595E0
1.540105708E0,-1.945953369E-3,3.143463135E-3,9.599537659E0,9.599538371E0
1.550091708E0,-3.068618774E-2,-6.706054688E-2,9.557624817E0,9.557909337E0
1.560078708E0,-1.901046753E-2,-1.616638184E-1,9.476194153E0,9.477592110E0
1.570065708E0,-8.532257080E-3,-1.874102783E-1,9.476343842E0,9.478200674E0
1.580051708E0,-1.945953369E-3,-2.133064270E-1,9.351353760E0,9.353786429E0
1.590038708E0,3.562591553E-2,-1.537303162E-1,9.319769440E0,9.321105333E0
1.600024708E0,5.269042969E-2,-1.402583313E-1,9.456584930E0,9.457771790E0
1.610011708E0,1.571731567E-2,-1.475930786E-1,9.570198669E0,9.571349608E0
1.619998708E0,-7.155120850E-2,-1.441502380E-1,9.644444275E0,9.645786865E0
1.629984708E0,-1.380130005E-1,-1.056802368E-1,9.571695557E0,9.573273825E0
1.639971708E0,-2.508782959E-1,-1.761836243E-1,9.469009094E0,9.473970330E0
1.649957708E0,-2.691403198E-1,-2.766247559E-1,9.526639252E0,9.534454006E0
1.659944708E0,-2.035766602E-1,-3.195854187E-1,9.630972290E0,9.638423395E0
1.669931708E0,-1.492396545E-1,-3.070115662E-1,9.649833069E0,9.655869036E0
1.679917708E0,-1.017883301E-1,-3.706292725E-1,9.750573578E0,9.758145931E0
1.689904708E0,-2.155517578E-2,-4.784051514E-1,9.985584869E0,9.997061633E0
1.699890708E0,2.844085693E-2,-6.221063232E-1,1.011476624E1,1.013391934E1
1.709877708E0,3.233276367E-2,-7.135661316E-1,1.002315674E1,1.004857667E1
1.719864708E0,-2.993774414E-4,-7.520361328E-1,9.942324829E0,9.970726224E0
1.729850708E0,-1.616638184E-2,-7.294331360E-1,9.952353973E0,9.979062264E0
1.739837708E0,-8.367599487E-2,-6.554869080E-1,9.928852844E0,9.950818236E0
1.749823708E0,-1.576222229E-1,-6.692582703E-1,9.980645142E0,1.000430052E1
1.759810708E0,-1.558259583E-1,-8.234376526E-1,1.005953110E1,1.009437949E1
1.769797708E0,-1.157093811E-1,-9.463320923E-1,9.942773895E0,9.988377537E0
1.779783708E0,-1.350192261E-1,-9.916877747E-1,9.943073273E0,9.993316814E0
1.789770708E0,-1.459465027E-1,-1.044228516E0,9.914183350E0,9.970092530E0
1.799756708E0,-1.248403931E-1,-1.115929413E0,9.891131287E0,9.954665324E0
1.809743708E0,-1.306782532E-1,-1.040336609E0,9.912686462E0,9.967985251E0
1.819730708E0,-1.555265808E-1,-9.695338440E-1,9.845326538E0,9.894171973E0
1.829716708E0,-1.498384094E-1,-9.339079285E-1,9.710906067E0,9.756860776E0
1.839703708E0,-1.892065430E-1,-9.204359436E-1,9.646539917E0,9.692199637E0
