"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.263962792E0,-9.767787781E0,3.457809448E-2,-3.399430847E-1,9.773762585E0
1.273949792E0,-9.755812683E0,2.978805542E-2,-4.364923096E-1,9.765617951E0
1.283935792E0,-9.744436340E0,1.841171265E-2,-3.743714905E-1,9.751642559E0
1.293922792E0,-9.767488403E0,1.197509766E-3,-3.177891541E-1,9.772656808E0
1.303908792E0,-9.755812683E0,1.152603149E-2,-3.034190369E-1,9.760536720E0
1.313895792E0,-9.755662994E0,1.122665405E-2,-2.897973633E-1,9.759972798E0
1.323881792E0,-9.762698364E0,2.380050659E-2,-3.278182983E-1,9.768229658E0
1.333868792E0,-9.758058014E0,9.580078125E-3,-2.231858826E-1,9.760614731E0
1.343854792E0,-9.772727509E0,8.831634521E-3,-1.832189941E-1,9.774448841E0
1.353841792E0,-9.771529999E0,-1.392105103E-2,-1.487905884E-1,9.772672662E0
1.363827792E0,-9.778116302E0,-1.468446350E-1,-2.793191528E-1,9.783207090E0
1.373814792E0,-9.814191284E0,-5.462141418E-1,-2.366578674E-1,9.832227998E0
1.383800792E0,-9.774823151E0,-3.049159241E-1,4.385879517E-2,9.779676116E0
1.393787792E0,-9.770931244E0,3.547622681E-2,2.529739380E-2,9.771028395E0
1.403773792E0,-9.748178558E0,2.028282166E-1,-1.543290710E-1,9.751509727E0
1.413759792E0,-9.749825134E0,2.329156494E-1,-2.297721863E-1,9.755313173E0
1.423746792E0,-9.757758636E0,3.290158081E-1,-3.183879089E-1,9.768494043E0
1.433732792E0,-9.748477936E0,3.135978699E-1,-4.171824646E-1,9.762438573E0
1.443719792E0,-9.747879181E0,8.592132568E-2,-5.848338318E-1,9.765785253E0
1.453705792E0,-9.765692139E0,7.634124756E-3,-5.918692017E-1,9.783614382E0
1.463692792E0,-9.761351166E0,3.248245239E-2,-5.409750366E-1,9.776384080E0
1.473678792E0,-9.763297119E0,1.871109009E-2,-6.012995911E-1,9.781813837E0
1.483665792E0,-9.760752411E0,-8.532257080E-3,-5.508544922E-1,9.776287695E0
1.493651792E0,-9.755064240E0,-5.418731689E-2,-5.170248413E-1,9.768906247E0
1.503638792E0,-9.736353149E0,5.284011841E-2,-6.637197876E-1,9.759092616E0
1.513624792E0,-9.727671204E0,6.466552734E-2,-7.710466003E-1,9.758395439E0
1.523611792E0,-9.740245056E0,3.921844482E-2,-8.324189758E-1,9.775829028E0
1.533597792E0,-9.734556885E0,4.146377563E-2,-7.765850830E-1,9.765572250E0
1.543584792E0,-9.732161865E0,2.125579834E-2,-7.679031372E-1,9.762433181E0
1.553570792E0,-9.723629608E0,1.062789917E-2,-7.397616577E-1,9.751734872E0
1.563556792E0,-9.742041321E0,1.392105103E-2,-7.223977661E-1,9.768798361E0
1.573543792E0,-9.736053772E0,9.430389404E-3,-7.541317749E-1,9.765221284E0
1.583529792E0,-9.738299103E0,6.286926270E-3,-7.195536804E-1,9.764848511E0
1.593516792E0,-9.726922760E0,8.681945801E-3,-7.256909180E-1,9.753959661E0
1.603502792E0,-9.738448792E0,1.901046753E-2,-7.897576904E-1,9.770438244E0
1.613489792E0,-9.729168091E0,3.143463135E-3,-8.286767578E-1,9.764395874E0
1.623475792E0,-9.725874939E0,2.634521484E-2,-8.300239563E-1,9.761264117E0
1.633462792E0,-9.728419647E0,1.511856079E-2,-7.890092468E-1,9.760374634E0
1.643448792E0,-9.739197235E0,3.173400879E-2,-7.228468323E-1,9.766036933E0
1.653435792E0,-9.745184784E0,2.185455322E-2,-6.935078430E-1,9.769854514E0
